VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
2,01/01/2016 06:03:01 AM,01/01/2016 06:07:09 AM,N,1,-73.9427490234375,40.790203094482422,-73.956687927246094,40.780780792236328,1,1.22,6,0,0.5,0,0,,0.3,6.8,2,1,,
2,01/01/2016 06:01:29 AM,01/01/2016 06:07:12 AM,N,1,-73.944854736328125,40.813850402832031,-73.940475463867187,40.823825836181641,5,0.85,6,0,0.5,0,0,,0.3,6.8,2,1,,
2,01/01/2016 06:01:33 AM,01/01/2016 06:07:15 AM,N,1,-73.955734252929687,40.690902709960937,-73.980270385742187,40.688835144042969,1,1.46,7,0.5,0.5,0,0,,0.3,8.3,2,1,,
2,01/01/2016 06:01:36 AM,01/01/2016 06:07:16 AM,N,1,-73.889801025390625,40.746109008789063,-73.884269714355469,40.747589111328125,1,0.38,5,0,0.5,0,0,,0.3,5.8,2,1,,
2,01/01/2016 06:04:01 AM,01/01/2016 06:07:17 AM,N,1,-73.889503479003906,40.747062683105469,-73.888267517089844,40.739128112792969,6,0.54,4,0,0.5,0,0,,0.3,4.8,2,1,,
2,01/01/2016 06:01:27 AM,01/01/2016 06:07:20 AM,N,1,-73.955558776855469,40.812484741210938,-73.94110107421875,40.814167022705078,1,1.11,6.5,0,0.5,0,0,,0.3,7.3,2,1,,
2,01/01/2016 06:04:49 AM,01/01/2016 06:07:21 AM,N,1,-73.87884521484375,40.75640869140625,-73.875572204589844,40.763134002685547,1,0.74,4.5,0,0.5,0,0,,0.3,5.3,2,1,,
2,01/01/2016 06:03:33 AM,01/01/2016 06:07:23 AM,N,1,-73.935081481933594,40.714073181152344,-73.929412841796875,40.708305358886719,1,0.6,4.5,0,0.5,1.06,0,,0.3,6.36,1,1,,
2,01/01/2016 06:01:01 AM,01/01/2016 06:07:23 AM,N,1,-73.9210205078125,40.852344512939453,-73.917900085449219,40.841716766357422,1,1.52,7,0,0.5,0,0,,0.3,7.8,2,1,,
2,01/01/2016 06:05:49 AM,01/01/2016 06:07:25 AM,N,1,-73.941726684570313,40.838264465332031,-73.94024658203125,40.845893859863281,1,0.51,3.5,0,0.5,0,0,,0.3,4.3,2,1,,
2,01/01/2016 06:03:23 AM,01/01/2016 06:07:35 AM,N,1,-73.944252014160156,40.752002716064453,-73.926193237304688,40.743736267089844,2,1.23,6,0,0.5,0,0,,0.3,6.8,2,1,,
2,01/01/2016 06:01:00 AM,01/01/2016 06:07:39 AM,N,1,-73.957832336425781,40.721965789794922,-73.942886352539062,40.715858459472656,1,1.72,7.5,0.5,0.5,0,0,,0.3,8.8,1,1,,
2,01/01/2016 06:04:13 AM,01/01/2016 06:07:46 AM,N,1,-73.913772583007812,40.765361785888672,-73.920501708984375,40.754440307617188,2,0.82,5,0,0.5,0,0,,0.3,5.8,2,1,,
